Title,Query,Answers
My grandma’s Alzheimer,Hi everyone. My 71 years old grandma has been dealing with Alzheimer for a while. Should I hire a nurse or should I take care of her myself? Because I don’t know if family members would help with her disease better or not.,Tuff call... There are many variables... A nurse can be very expensive..... so can quitting a good job if you're working. It also depends on how far along she is with her journey. Is she still active or is se bed ridden?
Eye Test Can Detect Alzheimer’s Disease Early,"This looks very promising for proactive treatment of Alzheimer’s in the future. Not sure how much is okay to paste in so I will leave link too. https://hitechs.org/new-eye-test-can-detect-alzheimers-disease-many-years-prior-symptoms-emerging-110002017/ . In a study of 16 patients at Cedars-Sinai Hospital in Los Angeles with Alzheimer’s found they had more than twice as much beta-amyloid in their retinas. Neurosurgeon Professor Maya Koronyo-Hamaoui, of Cedars-Sinai Medical Center, Los Angeles, said: “Analysis of retinal amyloid index (RAI) scores showed a 2.1-fold increase in Alzheimer’s disease patients.” In early human development in the womb, the retina of the eye is formed from the same tissue as the brain. Even before this study there has been a suspicion that there is a link between the ratio of beta-amyloid protein in the eye and amyloid in the brain. There is even a disease reference to 'dementia of the eye' and age-related macular degeneration (AMD) is linked to a buildup of beta-amyloid proteins in the retina. The Cedars-Sinai team in an article entitled “Retinal Amyloid Pathology and Proof-of-Concept Imaging Trial in Alzheimer’s Disease” published recently in JCI Insight, say they believe beta-amyloid begins to accumulate in the eyes maybe 20 years or more before symptoms develop in the brain. The non-invasive technique developed by the Cedars-Sinai team with investigators at NeuroVision Imaging, Commonwealth Scientific and Industrial Research Organisation, University of Southern California, and UCLA have their patients drink a solution containing the natural fluorescent yellow extract curcumin, the main chemical in the curry spice turmeric. Besides curcumin's natural fluorescent glow, in a micronized form it can cross the blood-brain and blood-retina barrier then binds to the sticky amyloid plaques. The curcumin solution highlights the amyloid deposits at the back of the eye using a portable extremity imaging device. We recently reviewed on the best forms of curcumin supplements here. Co-senior study investigator Keith Black, M.D., chair of Cedars-Sinai's department of neurosurgery and director of the Maxine Dunitz Neurosurgical Institute stated: ""Our hope is that eventually the investigational eye scan will be used as a screening device to detect the disease early enough to intervene and change the course of the disorder with medications and lifestyle changes.""", 
Can you reverse neurocognitive deficits?,"Just got diagnosed with major cognitive disorder. Diagnosed with Chronic Lyme Disease 2016 mother had Vascular dementia, father has late onset at 83, and multiple concussion histiory read Bredeson's book just had my Apoe4 done waiting for results. Anyone here reverse Neurocognitive deficits ???","Thanks, my friend for posting this I been forgetting a lot of things lately and I am nervous that my memory could be fading on me. I'm 48 years old and I just can not remember things that me and my wife did several years ago including some of the things with the children. I played football in and some in college and yes we used our helmets back then to tackle with.


 Lion's mane mushroom supposedly has neuroregenerative properties. Give it a try. It's one delicious mushroom when briefly sautéed in a pan with some butter, salt & pepper, parsley, garlic, onion. Start with a small dose though as it packs quite a punch! Don't get the dried powder, try to get the fresh one that's still alive. They come in large plastic bags. Post Edited (insomniaaa) : 12/22/2020 6:11:26 AM (GMT-7)


 I had started taking lithium orotate 120 mg for foot neuropathy. I had read it would help, but it didn't. But after about 3 weeks, I began to notice my memory improving. I work as a gate guard and people would ask if I didn't remember them. I didn't. But after the lithium I started recognizing them. I have been taking lithium for about a year and have had significant memory improvement overall. I am 66 years old and have signifcant family history of Alzheimers. I have a friend I was telling about this. He is 77 years old and told me he has difficulty recognizing faces and general memory loss. Now after 6 months, he has had signifcant improvement of his memory. His wife has been so impressed with his improvement that she has started taking it just in case. Search the internet and you can find studies that show a correlation between lithium and neuroplasticity. That's the brains ability to heal ie grow new brain cells. I wonder if the aluminum found in Alzheimers brains is the brain using aluminum because there is little or no lithium available. I am posting this hoping to help others and spur research into lithium research for memory disorders.


 Hi kct did you find anything that helped with you cognotive disorder"
Vascular dementia and feeling guilty,My dad is 85 years old and has vascular dementia. In January we had to move him to a home because my mom could no longer take care of him. I live in the US and they live in South America. I went to see them last month and it has been very sad. The place where he is is nice and clean and he has his own private large room and bathroom. The thing is that he does not even remember I went to visit him and it breaks my heart. I talked to a psychiatrist and she told me that we as a family needed to mourn my dad because he was not longer there. She said that we need to take care of his body and needs but that the dad I had is already gone. This was hard to hear but in many ways made some sense. My mom and sister (that lives close by) continues to go there to be sure he is well taken care of and to visit. I do feel so guilty from living so far. Has anyone experience something like this? Thanks.,"Hi AnxietyKeller. I’m sorry you are going through this. I just lost my dad in December 2017 to vascular Dementia and other health complications. It is very hard to go through. It sounds like he is being taken Well care of and has family near by. What helped me in the past years was my dad was always a family person, worked 2 jobs, and always tried to be there for us as we grew up. We had 8 kids in the family. I tried to talk about all the “ good ole days” And times I knew he would remember. Long term memory is easier for them to grasp I was told. It was by no means easy, but hearing his “stories” made me appreciate all he had done for our family. When he stopped talking, I talked about what was going on each day. He loved to hear about golf (he was a golf lover at an early age) , my family, what the other patients were doing down the hall ( he too needed Nursing home care after not being safe in my home after 18 years of living there). I knew he could hear it all. Spend what you can with your dad now. Wishing you peace.


 Hi: No, I for one, have not heard of Terminal Restlessness. You're right. It does sound unpleasant. My Mom isn't at that stage yet. I feel for you.


 It's been awhile since I've posted here. I do see some old friends (Pratoman, Clocknut, and Complier). My husband, Ron was tested again and he does have Mild Cognitive Impairment; however, I don't see this as a topic. Hello everyone!


 Everyone that posts in this Alzheimer's forum has been where you are...or they will be. Sorry you're having to go through it. The good news is that is sounds like he's being well taken care of.


 I recently had to place my husband in a facility. I had stopped working last November to stay home & care for him. He was diagnosed with Dementia probably 10 tens ago. He did well for many of those years. However, last summer he began that snowball down the hill effect. He has Vascular Dementia, his father & paternal grandmother also had dementia. I was told this morning they are looking at what the Social worker called “ Terminal Restlessness”. Has anyone ever been told this about their loved one? He was taken to a behavioral center for about 8 days. They took him off several medications & added back one anti-depressant. He was then brought back to the original facility with the thinking he would adjust better. Things are not as bad as before. However, they have had to place him in a different area of the Alzheimers Unit. They have also spoke of possibly needing to place him in a Behavioral Unit permanently . I googled the Terminal Restlessness & certainly did not like what I read. Has anyone else heard of this? Thanks


 I realize this is a bit of an older original post but I have years and years of experience with a family member who had dementia. Generally terminal restlessness or agitation refers to agitation that occurs near the end of life. Both of my parents had it. I know what you're going through. Sometimes it happens earlier in ppl with dementias. It pretty much means they don't know what is happening and act out. My mother passed away in December after 10+ years of progressive vascular dementia. I don't know how many times I researched the ""stages"" but finally realized the only constant is there is no constant. Every person is different. The best you can do is roll with it and try not to blame yourself. The guilt never really goes away. But it does fade over time. Post Edited (1 day at a time) : 7/21/2020 3:48:23 PM (GMT-6)"
Using Poetry as an Outlet,"Hello everyone. My amazing momma is writing a series about using poetry as an outlet for people who have someone close to them that have Alzheimer's Disease or Dementia. If you're interested in this idea or reading poetry about this difficult topic here's the link to the article: https://vocal.media/poets/lessons-in-forgetting. Below is a little blurb from the article. This won’t be a practical how-to essay equipped with links to the best meal replacement shake for adults or how to prepare to change your own parent’s diapers. Though that’s helpful, I’m hoping to give you the gift of your own writing. A chance to write your way through what is inherently painful and difficult. Weekly, I will post a poem I wrote as an example along with a poetry prompt to get you writing your own truths. In my mid-thirties I said goodbye to my mom and not because she died or because we were estranged. I said goodbye nearly every day for a decade as Alzheimer’s took pieces of her, sometimes large chunks, like forgetting she had children, and other times, small details like people peel bananas before we eat them. Alzheimer’s may enter a room quietly like an electrical fire, but it burns the house down nonetheless. Thanks for reading this post and maybe reading the article, I know my mom is just hoping this puts some good into the world.", 
Concerned about husband’s memory,"In January My husband had a serious fall That resulted in a bad brain injury. Then resulting neck surgery this summer. We’re elderly and have both been experiencing what I consider to be fairly normal memory loss, but after his surgery he has been going downhill at an accelerating rate. He’s scheduled for neuropsych testing in a couple of weeks. He has a speech therapist who comes a couple of times a week to help with balance & other problems and she told me that since June his memory is getting much worse. I had to agree. I forced him to retire in October and we moved his office home but he spends all day in his home office working under the supervision of a fellow attorney. He has made some very serious financial choices with his business. I hear him yelling on the phone, he hells at people who dare to walk on our grass, he acts huffy with me, he isn’t bathing very often, is becoming incontinent and the other day I caught him using my hair dryer to dry the urine in his jeans - while he was wearing them. I’ll tell him something and in two minutes he won’t remember what I asked. I know depression causes similar changes and he’s definitely depressed. But I feel this is more. He’s under dr. ordered quarantine because he has a procedure coming up, yet every day he comes & tells me that he’s going to run an errand. He can’t remember that he’s supposed to stay at home. I guess I’d like feedback from those of you who have experience with this journey. Thanks.","I need to do this. The fact that I haven’t thought of doing so is a testament to my advanced years.


 I'm guessing you already know you need to read up on neuropsychic testing and what the tests will tell you."
How do you know if you have Alzheimers?,"I am 57, I watched my mom die of Alzheimers 13 years ago at 85. I have some very scary memory moments, how do you know if those are normal and just being an old dude or if you are showing signs of what is to come with something like Alzheimers? Brian","That is a really nice reply by msOuchie. As she mentioned, it is the common and rountine tasks that seem to slip out minds as we age... ""Did I take my daily low dose asprin....Did I feed the cat etc? I'm almost 62 and both parents have Alzheimers/Dementia that started in their early 80's. I asked my GP about this a couple years ago... He asked me if I had ever driven anywhere and couldn't find my way home... Luckily I said no...so we ended the conversation and he simply told me I'm just getting old.


 Certainly, if something is especially concerning to you, that is reason enough to get these tests done. Whether to rule out Alzheimers/Dementia or to start treatment to delay progression. From my experience, the Neurologist asked me if I suffer from any other conditions/diseases like depression, insomnia, etc which can affect the mind. If I've had any head injuries or was on medications, etc. Most of the practical questions are elementary school age type. He also gave me a basic physical. I required an MRI since I banged my head about 4 years ago which required 7 stitches. Not sure if everyone gets that. I made a list of my medications, conditions and the things that I had experienced that I didn't think a normal person my age should have experienced mentally, as you have mentioned in your case. They do appreciate these lists since it makes the questioning easier for both of you. Thank you for your comment Steve!! :)


 I do have some anxiety issues where my head gets merky swimming around through over full with things. That wasn't happening at the time I don't think but that does happen. But again, I have to wonder if that is a mixture of Alzheimer like issues and anxiety? Brian


 Steve n Dallas You jus made me laugh out loud they say to avoid it you must eat anything with coconut / coconut oil and Olives


 Sixty Minutes has done a couple of shows about a large area somewhere that has a HUGE number of Early Onset Alzheimer's people. They have been using the area for tests since it is such a unique situation... And they've been testing everyone.... The six million dollar question is -> ""Do you really want to know"" since there is nothing that can be done??


 Hi Brian: I'm sorry that your Mom had Alzheimers and that you had to go through the sad and frustrating experiences of Alzheimers/Dementia. Both of my parents had/have Azheimers/Dementia and my Dad died years ago. Not because of it but from complications of severe RA. My Mom is in a Home now with Alzheimers/Dementia and we were visiting with her yesterday. We were happy to see each other but we could see a decline in her mental state. I recently turned 58, so I was concerned about me also because of my parents plight plus I was having symptoms that at least half of middle aged people do experience. I felt mine were more than the norm, so I asked my Dr. to refer me to a Neurologist for testing which he did. I needed to know the answer and get things rolling, if it was the case. People in their late 40's and early 50's have been dxd. with Alzheimers/Dementia. On the other hand, forgetting a person's name, where we put the keys, going into a room and forgetting what we wanted then remembering it shortly after, can be quite normal. Our brains are aging after all. There are things that can cause us memory loss and other symptoms like medications, for example. That's why testing needs to be done by a Specialist. --------------- Diagnosing Alzheimer's: How Alzheimer's is diagnosed To diagnose Alzheimer's dementia, doctors conduct tests to assess memory impairment and other thinking skills, judge functional abilities, and identify behavior changes. They also perform a series of tests to rule out other possible causes of impairment. By Mayo Clinic Staff To diagnose Alzheimer's dementia, doctors evaluate your signs and symptoms and conduct several tests. An accurate diagnosis of Alzheimer's dementia is an important first step to ensure you have appropriate treatment, care, family education and plans for the future. Early signs and symptoms of Alzheimer's dementia Early signs and symptoms of Alzheimer's dementia include: Memory impairment, such as difficulty remembering events Difficulty concentrating, planning or problem-solving Problems finishing daily tasks at home or at work Confusion with location or passage of time Having visual or space difficulties, such as not understanding distance in driving, getting lost or misplacing items Language problems, such as word-finding problems or reduced vocabulary in speech or writing Using poor judgment in decisions Withdrawal from work events or social engagements Changes in mood, such as depression or other behavior and personality changes Alzheimer's dementia can affect several aspects of your daily life. When warning signs of Alzheimer's dementia appear, it's important that you get a prompt and accurate diagnosis. http://www.mayoclinic.org/diseases-conditions/alzheimers-disease/in-depth/alzheimers/art-20048075 Take Care! :)


 The List is a little scary being every one of those things has happened, but during my whole life! Big events, forgetting (10-15 years later) that I got up on stage and sung a song to my wife on our 5th wedding anniversary (we just had our 25th) creeped me out! I guess I need to get to my doctor and have the testing done to be sure. The straw that broke the camels back to get me to post this was a day or so ago when I saw that a guy I was chatting with on facebook lived in a town that sounded familiar very familiar but I didn't know where it was. I looked it up on a map and it made sense but the wrong sense. A little later I asked my wife and she told me where it was and it was a city I had spent a lot of time in as my ex-sister-in-law lived there and I passed through it with those memories popping up every time on a regular basis to visit my older children and grandkids regularly over the years. At least a few times a year passing through this town with fond memories of it. To be staring at a map two days ago not knowing where and what this town was seriously creeped me out. Brian


 I also had one of those creeped me out moments that I mentioned to my GP... I couldn't remember the street number of my house... I knew the name of the street but not the number. The good news that my GP reminded me of was the fact that I knew I could look at some of the mail two feet in front of me and get the number... And he reminded me I had told him I'm a very early morning type of person and that the forgetfulness had happened shortly before bedtime. I've also woken up in the morning and BOOM - ""BLUE"" was the color of my second car...that I couldn't remember from the night before. Don't get me started on names... My best friend has reached the point where he automatically tells me the name of the bartender on Friday night


 On that note, my anxiety issues have brought on a lot of ""physical"" health problems that ended up being nothing. Every few years there is something else that I think is real that ends up being an anxiety issue. Could this be another one? I know this is a question for my doctor, but well we are chatting....:D Brian


 I recently became aware of gene testing in this area! It seems a friend of a friend had 2 parents and an uncle with Early Onset Alzheimer's and when she asked her Dr about it (at the young age of 32), she was sent to have some gene testing done. In her case, she DOES have the gene, and she was told she will definitely have Early Onset Alzheimer's. Y'all heard about that?"
Is my wife listening or zoning out?,"In the evenings, my wife sits on the side of the bed facing away from the TV. Is she listening to the TV or just zoning out?. She does not speak.","In your other post you wrote: ""My wife is approaching end stage early onset Alzheimer's. I am her sole caregiver. She was first diagnosed in October, 2010."" Both of my parents had Alzheimer's. They had next to NO attention span towards the end. Your wife could be both listening and zoning out."
Aunt With Alzheimer's,I've never posted on this board before but I am on several other boards on HW. I talked to my 84 year old aunt today for the first time in about a year. I knew she had alzheimers but did not expect her to be so mixed up. I have cried ever since I got off the phone with her. She kept going back and forth from the past to the present and she was crying because she had not seen me in a long time and was happy to hear my voice. She thought we were both much younger and didn't remember anything about my being ill with CFS so I told her I just had the flu. I really didn't know what to say to keep her from getting upset. I am devastated that she is so out of it and my uncle said this was one of the more positive conversations that shes had recently. She did not want to hang up because she was afraid she'd never hear my voice again. I told my uncle to call me for her when she was up to having another talk. I didn't know it would be like this. I'm so sorry for all the folks and their loved ones that are going through this horrible disease. I had no idea it was so awful. Thank you for letting me vent.,"Thanks for the reply. I tried not to talk about anything negative and to go along with what she was remembering. I don't see her anymore because we don't live in the same state and I'm too ill to travel. She had her 84th birthday on Monday but couldn't remember that when I asked about her bday party so I just let it go. She asked me why I hadn't visited her and I mentioned that I was too ill to travel. This upset her, she didn't recall anything about my illness so I just told her I had the flu. She laughed when I told her I was 77 years old and I realized she thought we were still young. I feel so bad for her.


 It's so sad. I could hear that it bothered her a lot when I talked about our age or our children's ages. I had told her that my oldest daughter, who is 58, had a hip replacement surgery but she said that couldn't be because she was too young to have that done. This was before I realized how she was thinking. I do want to continue to talke to her but I don't really know which subjects to avoid. I guess I'll just take it one conversation at a time.


 Yeppers... It can be pretty ugly. On bad days, my sister and I would joke about ""at least tomorrow he/she won't remember this....or that."" But we do what we can when we can. Never ""argue"" with your aunt or anyone else in this condition. Just say yes or maybe later to stall them etc... No sense getting their blood pressure up if you can avoid it.


 My dad was in the first part of his alzheimer's journey when my older brother turned 60. The math was driving him nuts... How can he have a 60 year old son when he's younger than that"
Wife with end stage early onset Alzheimer's,"Hello, Everyone. I am new to Healing Well. My wife is approaching end stage early onset Alzheimer's. I am her sole caregiver. She was first diagnosed in October, 2010. I also am caregiver for my 18 year old autistic son. I welcome this forum.","Yes. But the company is very unreliable. Some of the aides do not show up. When they do, it is normally a newly hired young person. They cannot fry an egg sunny side up or clean. When the replacement person shows up about 10am, I have already given my wife a shower and breakfast. My wife still can walk and sometimes finger feed herself. I am looking for another home health agency. Thanks for asking.


 Hi zoomd - welcome! Do you have Care Aids come in to take care of your wife so you can have a break?


 I am new to healing well also and actually joined due to suspecting Lyme disease. I read this topic also as my mother has primary progressive aphasia which affects her speech and she is now non verbal and has affected her memory and has severe dementia. She is in a memory care unit. I also have a 3 year old son with autism who is getting extensive therapy. So I know how difficult and stressful this must be."
